Patient Table,,,,,,,,,
CSN (PK),ScheduleID (FK),DocID (FK),Gender,D.O.B.,First Name,Last Name,Middle Initial,SSN,Address
126460459,1/2/2020/1400,9935,M,11/24/1976,August,Damian,D,255333105,"4417 Pine St #111 Philadelphia, Pennsylvania(PA), 19104"
152690674,1/4/2020/1630,6027,M,10/17/1988,Ricky,Foston,G,265662874,"2527 N 17th St Philadelphia, Pennsylvania(PA), 19132"
171280577,1/8/2020/1900,437,M,4/14/1928,Emile,Uselton,G,244331115,"3408 N 19th St Philadelphia, Pennsylvania(PA), 19140"
149032614,1/13/2020/1100,2024,M,9/19/1926,Maximo,Swedberg,E,161007923,"1719 N Woodstock St Philadelphia, Pennsylvania(PA), 19121"
135793299,1/21/2020/0945,1883,M,10/20/1920,Lacy,Diaz,,800622580,"1325 E Wadsworth Ave Philadelphia, Pennsylvania(PA), 19150"
149615727,1/25/2020/1100,7260,M,3/17/1997,Randy,Rizer,T,240590353,"911 S 55th St Philadelphia, Pennsylvania(PA), 19143"
182230619,1/26/2020/0945,1680,M,2/7/1973,Jose,Westphal,K,932037392,"8205 Gilbert St Philadelphia, Pennsylvania(PA), 19150"
155756391,1/28/2020/1900,9957,M,7/18/1905,Wayne,Flippo,,639005937,"6635 N 11th St Philadelphia, Pennsylvania(PA), 19126"
102880293,1/31/2020/1445,1872,M,3/25/1964,Raymundo,Versace,,416556752,"7801 Langdon St Philadelphia, Pennsylvania(PA), 19111"
125021597,2/1/2020/1315,7285,M,7/24/1933,Forrest,Sinner,K,651231732,"5422 Whitby Ave Philadelphia, Pennsylvania(PA), 19143"
168892517,2/5/2020/1630,4918,F,9/7/1997,Venice,Siegal,L,988864247,"950 E Woodlawn Ave Philadelphia, Pennsylvania(PA), 19138"
113478435,2/7/2020/1015,9161,F,7/14/1972,Gwen,Pearman,A,347562475,"8419 Bayard St Philadelphia, Pennsylvania(PA), 19150"
193057904,2/11/2020/1445,3529,F,7/25/1977,Fanny,Mikels,,966693012,"6659 Erdrick St Philadelphia, Pennsylvania(PA), 19135"
105182373,2/15/2020/1900,6267,F,12/11/1935,Hannelore,Gandy,B,636849443,"5400 Haverford Ave Philadelphia, Pennsylvania(PA), 19139"
155147830,2/18/2020/1015,2283,F,2/21/1925,Jong,Mancilla,,349510564,"911 S 55th St Philadelphia, Pennsylvania(PA), 19143"
165263244,2/20/2020/1315,9935,F,3/24/1973,Amal,Skow,Y,334493694,"8205 Gilbert St Philadelphia, Pennsylvania(PA), 19150"
123459046,2/21/2020/1630,437,F,5/28/2003,Cathryn,Valls,,306756234,"6635 N 11th St Philadelphia, Pennsylvania(PA), 19126"
179540588,2/22/2020/1445,2024,F,4/27/1905,Becky,Yearta,,950104403,"7801 Langdon St Philadelphia, Pennsylvania(PA), 19111"
151297122,2/24/2020/0945,3529,F,7/26/1955,Vertie,Drakeford,P,508723064,"5422 Whitby Ave Philadelphia, Pennsylvania(PA), 19143"
124516844,2/28/2020/1945,2283,F,10/14/1921,Helaine,Goldschmidt,P,162560279,"950 E Woodlawn Ave Philadelphia, Pennsylvania(PA), 19138"
167286422,02/21/2020/1100,7285,M,5/20/1926,Ryan,Taylor,J,766121045,"152 Prison Dr Leesville, Lousisana(LA), 71459"
162894265,02/27/2020/1630,9161,M,10/29/1935,Jeff,Cinnamon,C,232682330,"1956 Loops Dr Doylestown, Pennsylvania(PA), 18901"
153000443,03/03/2020/1515,4918,M,8/30/1943,Jack,Bauer,C,321788852,"24 Explosion Ave Baltimore, Maryland(MD), 21201"
131573514,03/20/2020/1945,1872,F,3/7/1998,Stephanie,Daley,L,137174086,"38 Phinea Ln Doylestown, Pennsylvania(PA), 18901"
186316950,03/24/2020/1900,1680,M,3/25/1932,Devin,Jarvis,S,784017093,"38 Pickwick Dr Doylestown, Pennsylvania(PA), 18901"
123515431,04/21/2020/1730,7260,M,5/7/1941,Tyler,Flieschut,S,923027530,"168 Lantern Dr Doylestown, Pennsylvania(PA), 18901"
165877291,05/22/2020/0945,9957,F,5/25/2018,Amanda,Mitnick,L,807370008,"15 Windsor Way Doylestown, Pennsylvania(PA),18901"
104849665,05/25/2020/1900,1883,F,9/15/1908,Sarah,Marshall,F,267901493,"12 Forgotten Drive New Hope, Pennsylvania(PA), 18938"
165121927,07/02/2020/1800,6027,M,6/16/1931,Chris,Cheddar,D,842250027,"36 Cheesy Ln Abington, Pennsylvania(PA),19001"
172087028,07/13/2020/1630,6267,M,2/19/1950,Scott,Towelly,O,580934353,"40 High Dr Abington, Pennsylvania(PA),19002"
175380803,07/15/2020/1015,1883,M,11/6/1970,Tyler,Durden,,666137283,"42 Soap Ave Syracuse, New York(NY), 13201"
175593784,07/31/2020/1100,1872,F,4/9/1946,Alison,Rabbit,C,426353736,"32 Cheshire Ln Abington, Pennsylvania(PA),19001"
183454620,08/03/2020/0945,3529,M,5/10/1922,Jack,Ripper,D,292204315,"35 Sharp Ct N.E. Philadelphia, Pennsylvania(PA),19115"
107886518,08/05/2020/1945,9161,F,6/24/1940,Heidi,Fitzgerld,S,631608322,"711 Marchman Rd N.E. Philadelphia, Pennsylvania(PA), 19115"
154459053,08/25/2020/1630,2283,M,7/24/1979,Vlad,Sphats,,852629262,"1250 Confrontation Way Fishtown, Philadelphia(PA), 19125"
186542651,09/16/2020/1515,7260,M,9/11/1917,Joe,Bucci,,487903817,"3 Dick Ave Hatboro, Horsham (PA), 19040"
187734414,10/26/2020/1100,7285,M,7/3/1967,Satoshi,Nakomoto,,550113611,"23 Bitcoin dr, Abington, Pennsylvania (PA), 19001"
144979317,01/05/2020/1800,437,F,6/1/1999,Kristen,Nice,L,423255064,"36 Dancer Way Hatboro, Horsham (PA), 19040"
149186596,11/23/2020/2015,6267,M,4/3/1961,Jason,Borne,,359341614,"245 Confused Way Abington, Pennsylvania (PA), 19002"
167156582,11/24/2020/1630,6027,M,2/24/2001,John,Kramormy,P,805857619,"1 Gunner Ave Hatboro, Horsham (PA), 19040"
744266473,2/18/2020/0945,1680,F,11/23/1951,Jenny,Parsons,,231332997,"6359 Sylvester St Philadelphia, Pennsylvania(PA), 19149"
995018989,3/6/2020/1730,2024,M,5/22/1952,Tyrone,Norton,D,851213211,"1100 S Front St Philadelphia  Pennsylvania(PA), 19147"
91190635,3/11/2020/1630,9935,M,4/21/1953,Bill,Owens,,627634216,"909 Arch St Philadelphia  Pennsylvania(PA), 19107"
818532352,3/16/2020/1315,9957,M,5/31/1954,David,Page,Y,829226915,"6835 Kindred St Philadelphia  Pennsylvania(PA), 19149"
528776590,3/26/2020/0945,4918,M,7/4/1960,Nolan,Baldwin,,819831843,"150 Springville Station Blvd, Springville (AL), 35146"
572069482,4/30/2020/1945,9935,F,11/18/1969,Victor,Drake,O,249591999,"3371 S Alabama Ave, Monroeville (AL), 36460"
308988674,5/15/2020/2015,6267,F,12/6/1971,Kasey,Lyons,,244871309,"859 Market St Philadelphia,  Pennsylvania(PA), 19746"
538779062,5/28/2020/1630,4918,M,7/21/1978,Julio,Morales,E,793803835,"161 Centereach Mall, Centereach (NY), 11720"
640331731,6/19/2020/1015,7285,F,2/26/1981,Linda,Freeman,,107463468,"956 Woodland Rd, Abington  Pennsylvania(PA), 19001"
372936892,7/17/2020/0930,1883,M,12/24/1981,Adam,Ray,,766341125,"785 Orianna Rd Gladwyne  Pennsylvania(PA), 19486"
605940355,7/24/2020/1900,2024,F,8/15/1986,Angela,Armstrong,J,381139569,"153 Samson Ave Philadelphia  Pennsylvania(PA), 19488"
916934797,7/27/2020/1730,9957,M,11/4/1987,Jett,Moss,,735938324,"362 Pollock Rd State College  Pennsylvania(PA), 16801"
35986711,9/4/2020/0945,2283,F,5/10/1990,Robin,Waters,,774939155,"720 Torrey Ln State College  Pennsylvania(PA), 16803"
461735399,9/23/2020/1900,4918,F,11/15/1990,Sidney,Walton,P,533748116,"549 Canal St  New York City New York (NY),10013"
991569988,10/2/2020/1315,437,M,1/23/1998,Donald,Fleming,,611630248,"101 Sanford Farm Shpg Center, Amsterdam (NY), 12010"
665338698,10/28/2020/1630,1680,M,12/26/2005,Ed,Anderson,I,303800369,"6265 Brockport Spencerport Rd, Brockport (NY), 14420"
705447044,11/10/2020/0945,2283,M,3/10/2008,Wilfred,Mathis,T,232778203,"3801 Eastern Blvd, Montgomery (AL), 36116"
764577576,11/16/2020/0945,1872,F,12/21/2009,Darla,Patton,S,385502759,"8650 Madison Blvd, Madison (AL), 35758"
149364126,11/19/2020/0830,9161,F,7/18/2012,Beatrice,Pope,D,232378353,"1903 Cobbs Ford Rd, Prattville (AL), 36066"
498880818,12/8/2020/1945,3529,F,8/4/2014,Sherry,Richards,W,884853587,"3191 County rd 10, Canandaigua (NY), 14424"
