INSERT INTO patient (CSN,ScheduleID,DocID,Gender,DOB,FirstName,LastName,MiddleInitial,SSN,Address) VALUES (35986711,'9/4/2020/0945',2283,'F','1990-05-10','Robin','Waters','',774939155,'720 Torrey Ln State College  Pennsylvania(PA), 16803');
INSERT INTO patient (CSN,ScheduleID,DocID,Gender,DOB,FirstName,LastName,MiddleInitial,SSN,Address) VALUES (91190635,'3/11/2020/1630',9935,'M','1953-04-21','Bill','Owens','',627634216,'909 Arch St Philadelphia  Pennsylvania(PA), 19107');
INSERT INTO patient (CSN,ScheduleID,DocID,Gender,DOB,FirstName,LastName,MiddleInitial,SSN,Address) VALUES (101831318,'11/11/2020/1015',6267,'M','1982-06-21','Claudianus','Shearmer','',404875144,'58025 Elka Circle, Glenside, PA 1942');
INSERT INTO patient (CSN,ScheduleID,DocID,Gender,DOB,FirstName,LastName,MiddleInitial,SSN,Address) VALUES (102880293,'1/31/2020/1445',1872,'M','1964-03-25','Raymundo','Versace','',416556752,'7801 Langdon St Philadelphia, Pennsylvania(PA), 19111');
INSERT INTO patient (CSN,ScheduleID,DocID,Gender,DOB,FirstName,LastName,MiddleInitial,SSN,Address) VALUES (104849665,'05/25/2020/1900',1883,'F','1908-09-15','Sarah','Marshall','F',267901493,'12 Forgotten Drive New Hope, Pennsylvania(PA), 18938');
INSERT INTO patient (CSN,ScheduleID,DocID,Gender,DOB,FirstName,LastName,MiddleInitial,SSN,Address) VALUES (105182373,'2/15/2020/1900',6267,'F','1935-12-11','Hannelore','Gandy','B',636849443,'5400 Haverford Ave Philadelphia, Pennsylvania(PA), 19139');
INSERT INTO patient (CSN,ScheduleID,DocID,Gender,DOB,FirstName,LastName,MiddleInitial,SSN,Address) VALUES (107886518,'08/05/2020/1945',9161,'F','1940-06-24','Heidi','Fitzgerld','S',631608322,'711 Marchman Rd N.E. Philadelphia, Pennsylvania(PA), 19115');
INSERT INTO patient (CSN,ScheduleID,DocID,Gender,DOB,FirstName,LastName,MiddleInitial,SSN,Address) VALUES (113478435,'2/7/2020/1015',9161,'F','1972-07-14','Gwen','Pearman','A',347562475,'8419 Bayard St Philadelphia, Pennsylvania(PA), 19150');
INSERT INTO patient (CSN,ScheduleID,DocID,Gender,DOB,FirstName,LastName,MiddleInitial,SSN,Address) VALUES (122124102,'10/15/2020/1630',9161,'M','2009-05-24','Griz','Griz','',296340807,'9 Hoker Junction, Willow Grove, MI, 00033');
INSERT INTO patient (CSN,ScheduleID,DocID,Gender,DOB,FirstName,LastName,MiddleInitial,SSN,Address) VALUES (122219222,'07/10/2020/1100',6027,'F','2007-10-25','Janna','Mathwen','',388626499,'53 Mallard Park, Willow Grove, MI, 00033');
INSERT INTO patient (CSN,ScheduleID,DocID,Gender,DOB,FirstName,LastName,MiddleInitial,SSN,Address) VALUES (123459046,'2/21/2020/1630',437,'F','2003-05-28','Cathryn','Valls','',306756234,'6635 N 11th St Philadelphia, Pennsylvania(PA), 19126');
INSERT INTO patient (CSN,ScheduleID,DocID,Gender,DOB,FirstName,LastName,MiddleInitial,SSN,Address) VALUES (123515431,'04/21/2020/1730',7260,'M','1941-05-07','Tyler','Flieschut','S',923027530,'168 Lantern Dr Doylestown, Pennsylvania(PA), 18901');
